X,Y,STORENAME,ADDRESS,ZIPCODE,PHONE,WARD,SSL,NOTES,PRESENT90,PRESENT95,PRESENT00,PRESENT05,PRESENT08,PRESENT09,PRESENT10,PRESENT11,PRESENT12,PRESENT13,PRESENT14,PRESENT15,PRESENT16,PRESENT17,PRESENT18,GIS_ID,OBJECTID,XCOORD,YCOORD,MAR_ID,SE_ANNO_CAD_DATA,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,PRESENT22,PRESENT23
-77.0000965513043,38.8762243023973,Harris Teeter,401 M STREET SE,20003,2025540164,Ward 8,0771    0811,Navy Yard,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_65,706,399991.82,134265.15,309432,,{1DB59107-6766-42A4-8BA2-5D6FC647D9EF},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-76.9666732231384,38.8590322190357,Safeway,2845 ALABAMA AVENUE SE,20020,2025757525,Ward 7,5642    0001, ,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_66,707,402892.75,132357.23,278282,,{A3BFCCAD-8C29-4BF5-91D7-A33915402BCF},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-76.9809993309975,38.844949480177,Giant,1535 ALABAMA AVENUE SE,20032,2026106464,Ward 8,5912    0818,Camp Simms,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_67,708,401649.66,130793.59,306557,,{B9BAED96-5B48-4DD4-B08E-E531CF031451},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0265506103964,38.9695284026844,Safeway,6500 PINEY BRANCH ROAD NW,20012,2027235644,Ward 4,2974    0020, ,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_68,709,397699.34,144623.03,285341,,{61779AAC-DFDE-4952-9C2E-9CF5BC9DEEF2},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0824644975396,38.9523401615587,Safeway,4203 DAVENPORT STREET NW,20016,2023640290,Ward 3,1672    0815, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,GroceryStorePt_69,710,392852.16,142717.87,301160,,{89BCAD9B-90E3-49D3-B89A-BE1A35447D76},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,No,No
-77.0248588316627,38.9384563707794,Safeway,3830 GEORGIA AVENUE NW,20011,2028821140,Ward 4,2905    0814, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_16,711,397845.01,141173.71,225076,,{CE7A30D3-A0A7-4E3E-8C33-94EF828CF35D},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.038544389092,38.9309434271438,BestWorld Supermarket,3178 MOUNT PLEASANT STREET NW,20010,2022653768,Ward 1,2601    0667, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_22,712,396658.16,140340.12,233149,,{38E91B45-9A3E-4AE6-BA7A-F6C9D2ED834B},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0384418623821,38.9219869413171,Harris Teeter,1631 KALORAMA ROAD NW,20009,2029861415,Ward 1,2572    0036,Citadel,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_28,713,396666.63,139345.87,284059,,{9C7F3535-0563-49EB-94A7-AC647D52A781},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-76.9924309344828,38.9192298057721,Giant,1050 BRENTWOOD ROAD NE,20018,2022813900,Ward 5,3854    0802, ,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_34,714,400656.59,139039.13,299835,,{8DCFB057-DC2B-4672-AF50-AEF4052A5E39},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0452000177074,38.9142848313131,Dawson's Market,2001 S STREET NW,20009,2025885698,Ward 2,0090    0032,,,,,,,,,,,,,,,,,GroceryStorePt_41,715,396080.16,138491.14,242564,,{65033E44-B702-43E3-B52F-3FF94A0FB7E9},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/06/28 13:27:41+00,Yes,No
-77.0266923576239,38.9067981958319,Capitol Super Market,1231 11TH STREET NW,20001,2022891336,Ward 2,0340    0824, ,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_46,716,397685.02,137659.43,239341,,{0613191B-5619-4A20-83D7-E7FEA9AF28FC},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0183549058757,38.9034968008917,Safeway,490 L STREET NW,20001,2027192435,Ward 6,0515    0158,Mt. Vernon Square,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_52,717,398408.1,137292.77,304767,,{009CF7A2-1951-4C57-8BB0-903A0D541736},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-76.9474571970595,38.8931397816222,Safeway,322 40TH STREET NE,20019,2023972802,Ward 7,5051N   0840, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_77,718,404558.4,136144.21,295141,,{DE137DF5-10A3-4008-852F-F1AD1DDB40AC},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-76.9727478673994,38.8741333364631,Yes! Organic,2323 PENNSYLVANIA AVENUE SE,20020,2025821480,Ward 7,5560    0055, ,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,GroceryStorePt_78,719,402365.01,134033.39,48543,,{C6D5AFFB-30F8-4FDA-9817-A07B591EB5E2},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,No,No
-77.0772664100344,38.9404511450199,Wegmans,41 RIDGE SQUARE NW,20016,2024491600,Ward 3,1823    0804,,,,,,,,,,,,,,,,,GroceryStorePt_80,720,393327.16,141364.5,331634,,{35D83E77-B803-4AD4-9D93-07A2EF13217B},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-76.9674010833979,38.8617655889416,Lidl,2224 TOWN CENTER DRIVE SE,20020,8447475435,Ward 7,5633    0022,,,,,,,,,,,,,,,,,GroceryStorePt_81,721,402813.53,132636.72,313156,,{657A36ED-8179-4F52-B969-A9B5B5A37437},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.008082138584,38.8312045196647,Good Food Markets,4001 SOUTH CAPITOL STREET SW,20032,2022488496,Ward 8,6172    0815,,,,,,,,,,,,,,,,,GroceryStorePt_82,722,399303.3,129237.48,276615,,{6687A883-515F-4E5E-A252-2610DA85DDED},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,No
-77.0553401792372,38.9095349638737,Streets Market,2617 P STREET NW,20007,2027350996,Ward 2,1265    0101,,,,,,,,,,,,,,,,,GroceryStorePt_83,961,395200.42,137964.35,275887,,{07F7DAF6-0B56-43FE-9DC9-86634EF9DAFF},GHATCHARD,2023/05/17 15:23:12+00,GHATCHARD,2023/06/28 13:24:05+00,,Yes
-77.0281347688778,38.9765737335831,Whole Foods Market,7150 12TH STREET NW,20012,2028466680,Ward 4,2950    0003,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,GroceryStorePt_84,962,397562.3,145405.17,334712,,{D67B7C47-1873-455E-9891-CAA0F0D4DFBF},GHATCHARD,2023/06/28 13:10:21+00,GHATCHARD,2023/06/28 13:15:52+00,No,Yes
-77.0329860146798,38.9293082279734,Lidl,"3100 14TH STREET NW, #116",20010,8447475435,Ward 1,2674    0721,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,GroceryStorePt_85,963,397140.04,140158.41,306304,,{61B4CD00-7A62-4328-A071-834DEF99283A},GHATCHARD,2023/06/28 13:18:47+00,GHATCHARD,2023/06/28 13:18:47+00,No,Yes
